id	organization	documents	citations	total link strength
652	"biotechnology center of ho chi minh city, ho chi minh city, viet nam"	13	120	29
658	"biotechnology research and development institute, can tho university, can tho, viet nam"	10	249	12
716	"bureau of international health cooperation, national center for global health and medicine, tokyo, japan"	24	237	82
724	"business and economics research group, đại học mở thành phố hồ chí minh, ho chi minh city, viet nam"	8	142	37
725	"business school of sichuan university, chengdu, china"	6	441	13
753	"campus ii, can tho university, can tho, viet nam"	5	71	10
759	"can tho university, can tho, viet nam"	22	402	40
768	"cancer research laboratory, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	12	179	32
832	"center for agricultural innovation, vietnam national university of agriculture, hanoi, viet nam"	11	100	36
834	"center for agricultural research and ecological studies (cares), vietnam national university of agriculture, hanoi, viet nam"	13	658	25
838	"center for aids research, kumamoto university, kumamoto, japan"	14	135	33
841	"center for animal disease control, university of miyazaki, miyazaki, japan"	22	203	75
848	"center for asian conservation ecology, kyushu university, fukuoka, japan"	29	218	82
852	"center for atomic and molecular technologies, the university of osaka, suita, japan"	11	226	28
860	"center for biomedical informatics, vingroup big data institute, hanoi, viet nam"	5	16	21
879	"center for clinical sciences, national center for global health and medicine, tokyo, japan"	5	42	14
887	"center for computational sciences, university of tsukuba, tsukuba, japan"	11	252	27
890	"center for critical care medicine, bach mai hospital, hanoi, viet nam"	6	31	20
904	"center for ecological research, kyoto university, kyoto, japan"	8	209	15
906	"center for emergency medicine, bach mai hospital, hanoi, viet nam"	5	42	14
923	"center for environmental science in saitama, kitasaitama district, japan"	5	126	14
925	"center for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam"	23	1771	61
932	"center for expert, vietnam national university of agriculture, hanoi, viet nam"	9	237	34
941	"center for gene and protein research, hanoi medical university, hanoi, viet nam"	9	270	23
945	"center for geospace studies, sri international, menlo park, united states"	5	145	16
951	"center for global initiatives, the university of osaka, suita, japan"	7	94	25
964	"center for infectious disease research in asia and africa, nagasaki university, nagasaki, japan"	18	340	63
967	"center for informatics and computation in astronomy, national tsing hua university, hsinchu, taiwan"	11	299	193
972	"center for innovative materials and architectures (inomar), ho chi minh city, viet nam"	10	229	42
973	"center for innovative materials and architectures (inomar), viet nam national university ho chi minh city, ho chi minh city, viet nam"	13	358	31
975	"center for innovative materials and architectures, ho chi minh city, viet nam"	14	161	71
977	"center for integrated science and humanities, fukushima medical university, fukushima, japan"	7	20	36
982	"center for international collaborative research, nagasaki university, nagasaki, japan"	16	830	59
999	"center for marine environmental studies, ehime university, matsuyama, japan"	108	6678	289
1000	"center for material cycles and waste management research, national institute for environmental studies of japan, tsukuba, japan"	42	2455	125
1016	"center for molecular biomedicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	10	116	13
1020	"center for nanotechnology, kochi university of technology, kami, japan"	5	168	11
1025	"center for northeast asian studies, tohoku university, sendai, japan"	9	169	29
1029	"center for nuclear study (cns), the university of tokyo, tokyo, japan"	5	153	39
1030	"center for nuclear study, the university of tokyo, tokyo, japan"	23	618	265
1032	"center for nuclear techniques, vietnam atomic energy institute, hanoi, viet nam"	11	152	41
1041	"center for plant conservation, hanoi, viet nam"	7	179	19
1043	"center for population health sciences, hanoi school of public health, hanoi, viet nam"	5	121	18
1049	"center for preventive medicine, ho chi minh city, viet nam"	5	326	25
1053	"center for public health and ecosystem research, hanoi school of public health, hanoi, viet nam"	6	120	11
1057	"center for regional environmental research, national institute for environmental studies of japan, tsukuba, japan"	9	272	38
1066	"center for research and technology transfer, vietnam academy of science and technology, hanoi, viet nam"	18	410	58
1068	"center for research in isotopes and environmental dynamics, university of tsukuba, tsukuba, japan"	7	318	18
1070	"center for rubber science and technology, hanoi university of science and technology, hanoi, viet nam"	6	57	10
1077	"center for southeast asian studies, kyoto university, kyoto, japan"	30	1069	67
1081	"center for spintronics research network, tokyo, japan"	9	181	32
1082	"center for spintronics research network, toyonaka, japan"	6	33	23
1112	"center of advanced technology for the environment, ehime university, matsuyama, japan"	34	1412	114
1122	"center of excellence for green energy and environmental nanomaterials (ce@green), dại học nguyen tat thanh, ho chi minh city, viet nam"	7	286	24
1160	"center of water management and climate change, viet nam national university ho chi minh city, ho chi minh city, viet nam"	8	293	20
1161	"center of water resources planning and investigation, ministry of natural resources and environment, vietnam, hanoi, viet nam"	6	190	6
1163	"centers for disease control and prevention, atlanta, united states"	7	622	33
1173	"central institute for natural resources and environmental studies, vietnam national university, hanoi, hanoi, viet nam"	7	78	31
1180	"central region agricultural research center naro, tsukuba, japan"	7	433	12
1233	"centre for climate change study in central vietnam, university of agriculture and forestry, hue university, hue, viet nam"	5	105	16
1255	"centre for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam"	29	1952	85
1268	"centre for interdisciplinary social research, phenikaa university, hanoi, viet nam"	40	1087	91
1275	"centre for mathematical modelling of infectious diseases, london school of hygiene & tropical medicine, london, united kingdom"	8	39	30
1306	"centre for theoretical chemistry and physics, massey university auckland, auckland, new zealand"	16	163	52
1320	"centre of excellence for advanced research in fluid flow, universiti malaysia pahang al-sultan abdullah, pekan, malaysia"	7	326	29
1327	"centre of tropical geoengineering (geotropik), faculty of engineering, johor bahru, malaysia"	5	408	23
1341	"centro internacional de agricultura tropical, cali, colombia"	6	162	20
1347	"ceramics and biomaterials research group, ton-duc-thang university, ho chi minh city, viet nam"	13	281	45
1348	"ceramics research laboratory, nagoya institute of technology, nagoya, japan"	5	30	5
1384	"chengdu institute of biology chinese academy of sciences, chengdu, china"	6	217	21
1385	"chennai antiviral research and treatment clinical research site (cart crs), vhs medical centre india, chennai, india"	9	113	172
1390	"chiang mai university, chiang mai, thailand"	6	51	39
1392	"chiangrai prachanukroh hospital, chiang rai, thailand"	26	327	504
1397	"chiba university, chiba, japan"	28	383	42
1399	"children's hospital 1, ho chi minh city, viet nam"	7	108	31
1400	"children's hospital 2, ho chi minh city, viet nam"	11	245	36
1401	"children's hospital no. 1, ho chi minh city, viet nam"	12	488	32
1402	"children's hospital no. 2, ho chi minh city, viet nam"	6	307	27
1419	"chinese academy of sciences, beijing, china"	7	145	55
1424	"cho ray hospital, ho chi minh city, viet nam"	20	298	88
1440	"chulalongkorn university, bangkok, thailand"	8	331	59
1455	"city university of hong kong, hong kong, hong kong"	6	84	17
1457	"civil and environmental engineering program, hiroshima university, higashihiroshima, japan"	53	2015	117
1518	"cnrs centre national de la recherche scientifique, paris, france"	9	271	51
1537	"collaborative research centre for green materials on environmental technology, kyushu institute of technology, kitakyushu, japan"	6	34	11
1542	"college of agriculture and applied biology, can tho university, can tho, viet nam"	8	112	15
1543	"college of agriculture, can tho university, can tho, viet nam"	25	1306	44
1553	"college of aquaculture and fisheries, can tho university, can tho, viet nam"	77	1168	121
1559	"college of arts, james cook university, townsville, australia"	7	154	33
1563	"college of bioresource sciences, nihon university, tokyo, japan"	8	284	27
1570	"college of coastal agricultural sciences, guangdong ocean university, zhanjiang, china"	9	44	31
1583	"college of economics, can tho university, can tho, viet nam"	7	515	7
1594	"college of engineering and computer science, vinuniversity, hanoi, viet nam"	13	90	22
1596	"college of engineering technology, can tho university, can tho, viet nam"	11	220	24
1610	"college of engineering, shibaura institute of technology, tokyo, japan"	8	62	7
1611	"college of environment and natural resources, can tho university, can tho, viet nam"	33	434	62
1617	"college of environmental technology, muroran institute of technology, muroran, japan"	6	85	8
1639	"college of health sciences, vinuniversity, hanoi, viet nam"	5	24	26
1642	"college of humanities and sciences, nihon university, tokyo, japan"	5	42	12
1644	"college of information and communication technology, can tho university, can tho, viet nam"	6	58	15
1658	"college of life and health sciences, chubu university, kasugai, japan"	5	653	36
1694	"college of medicine, 6th october, egypt"	5	61	36
1711	"college of natural sciences, can tho university, can tho, viet nam"	10	85	20
1716	"college of nursing, university of the philippines manila, manila, philippines"	5	51	16
1728	"college of pharmacy, kangwon national university, chuncheon, south korea"	5	209	4
1740	"college of public health, university of the philippines manila, manila, philippines"	5	22	16
1743	"college of rural development, can tho university, can tho, viet nam"	5	9	9
1765	"college of systems engineering and science, shibaura institute of technology, tokyo, japan"	12	94	18
1769	"college of technology, vietnam national university, hanoi, hanoi, viet nam"	8	221	9
1771	"college of the environment and ecology, xiamen university, xiamen, china"	5	316	18
1775	"college of veterinary medicine, seoul national university, seoul, south korea"	10	165	41
1783	"combustion engines and propulsion systems laboratory, institut teknologi bandung, bandung, indonesia"	6	111	13
1788	"commissariat a l'energie atomique et aux energies alternatives, gif-sur-yvette, france"	6	154	83
1792	"commonwealth scientific and industrial research organisation, canberra, australia"	11	505	32
1796	"community medicine support dentistry, ohu university, koriyama, japan"	13	45	116
1810	"computational astrophysics laboratory, riken, wako, japan"	11	62	29
1812	"computational chemistry research group, ton-duc-thang university, ho chi minh city, viet nam"	7	38	19
1814	"computational engineering applications unit, riken, wako, japan"	5	40	6
1821	"computer communications laboratory, the university of aizu, aizuwakamatsu, japan"	23	456	23
1844	"consulting center of technological sciences for natural resources and environment, vietnam national university of agriculture, hanoi, viet nam"	5	119	13
1845	"convergence research center for development of mineral resources, korea institute of geoscience and mineral resources, daejeon, south korea"	5	72	7
1864	"corrosion resistant steel group, national institute for materials science, tsukuba, japan"	7	114	15
1899	"csic - instituto de estructura de la materia (iem), madrid, spain"	8	219	128
1934	"cuu long delta rice research institute, can tho, viet nam"	15	322	29
1954	"dai nam university, hanoi, viet nam"	13	102	44
1965	"dalat nuclear research institute, vietnam atomic energy institute, hanoi, viet nam"	6	288	11
1971	"dalian university of technology, dalian, china"	10	739	21
1974	"danang environmental technology center, vietnam academy of science and technology, hanoi, viet nam"	9	165	24
1993	"david geffen school of medicine at ucla, los angeles, united states"	6	2092	52
1995	"de la salle university, manila, philippines"	12	2965	29
2030	"department for management of science and technology development, ton-duc-thang university, ho chi minh city, viet nam"	27	992	81
2048	"department of advanced functional materials research, takasaki advanced radiation research institute, takasaki, japan"	6	82	21
2062	"department of advanced science and technology, toyota technological institute, nagoya, japan"	6	31	11
2073	"department of agricultural and resource economics, kyushu university, fukuoka, japan"	32	486	36
2101	"department of agriculture, can tho university, can tho, viet nam"	5	88	10
2115	"department of agro-environmental sciences, kyushu university, fukuoka, japan"	44	409	40
2122	"department of agroforestry and environment, gazipur agricultural university, gazipur, bangladesh"	9	688	40
2126	"department of agronomy, khartoum university, khartoum, sudan"	7	223	29
2169	"department of anatomy and anthropology, tohoku university school of medicine, sendai, japan"	6	227	13
2194	"department of anatomy, jichi medical university, kawachi district, japan"	7	190	16
2200	"department of anatomy, sapporo medical university, sapporo, japan"	9	289	19
2208	"department of anatomy, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	7	190	16
2211	"department of anatomy, university of otago, dunedin, new zealand"	9	222	45
2256	"department of animal health, ministry of agriculture and rural development, hanoi, viet nam"	12	168	32
2257	"department of animal health, national centre for veterinary diagnostics, hanoi, viet nam"	5	285	10
2290	"department of animal surgery and theriogenology, vietnam national university of agriculture, hanoi, viet nam"	5	18	12
2321	"department of applied biological science, kagawa university, takamatsu, japan"	21	808	38
2324	"department of applied biological science, tokyo university of science, tokyo, japan"	5	32	6
2330	"department of applied biology, kyoto institute of technology, kyoto, japan"	22	295	42
2348	"department of applied chemistry, kyushu institute of technology, kitakyushu, japan"	6	94	16
2349	"department of applied chemistry, kyushu university, fukuoka, japan"	6	109	6
2351	"department of applied chemistry, national chiao tung university, hsinchu, taiwan"	10	218	21
2353	"department of applied chemistry, osaka metropolitan university, osaka, japan"	20	487	31
2354	"department of applied chemistry, the university of osaka, suita, japan"	15	301	15
2360	"department of applied chemistry, university of hyogo, kobe, japan"	6	128	6
2379	"department of applied physics and chemistry, the university of electro-communications, chofu, japan"	18	721	30
2386	"department of applied physics, the university of osaka, suita, japan"	12	331	18
2387	"department of applied physics, the university of tokyo, tokyo, japan"	7	121	19
2388	"department of applied physics, tohoku university, sendai, japan"	7	38	22
2394	"department of applied quantum physics and nuclear engineering, kyushu university, fukuoka, japan"	7	238	7
2421	"department of archaeology and natural history, the australian national university, canberra, australia"	6	410	14
2427	"department of archaeology, university of aberdeen, aberdeen, united kingdom"	9	73	47
2433	"department of architecture and civil engineering, toyohashi university of technology, toyohashi, japan"	15	154	21
2438	"department of architecture, nihon university, tokyo, japan"	13	281	18
2450	"department of astronomical science, the graduate university for advanced studies, hayama, japan"	5	212	23
2453	"department of astronomy and space science, university of science and technology (ust), daejeon, south korea"	9	287	159
2456	"department of astronomy, the university of tokyo, tokyo, japan"	16	336	211
2457	"department of astronomy, university of illinois urbana-champaign, urbana, united states"	11	299	193
2461	"department of astrophysics, vietnam academy of science and technology, hanoi, viet nam"	15	336	215
2465	"department of automation, can tho university, can tho, viet nam"	6	207	6
2475	"department of bacteriology i, national institute of infectious diseases, tokyo, japan"	16	253	35
2477	"department of bacteriology ii, national institute of infectious diseases, tokyo, japan"	6	70	15
2479	"department of bacteriology, graduate school of medicine, nishihara, japan"	5	52	18
2482	"department of bacteriology, nagasaki university, nagasaki, japan"	6	59	15
2484	"department of bacteriology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam"	23	383	71
2485	"department of bacteriology, national institute of hygiene and epidemiology, hanoi, viet nam"	14	125	39
2486	"department of bacteriology, national institute of infectious diseases, tokyo, japan"	7	98	24
2507	"department of bio-resources, university of miyazaki, miyazaki, japan"	7	182	16
2518	"department of biochemistry and microbiology, chulalongkorn university, bangkok, thailand"	5	303	23
2522	"department of biochemistry and molecular biology, gazipur agricultural university, gazipur, bangladesh"	16	1325	67
2534	"department of biochemistry and plant physiology, vietnam national university, hanoi, hanoi, viet nam"	5	131	9
2541	"department of biochemistry, hanoi medical university, hanoi, viet nam"	5	481	7
2542	"department of biochemistry, hematology and blood transfusion, hanoi lung hospital, hanoi, viet nam"	6	125	35
2545	"department of biochemistry, king abdulaziz university, jeddah, saudi arabia"	5	656	38
2558	"department of biochemistry, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	5	226	9
2559	"department of biochemistry, university of shizuoka, shizuoka, japan"	5	1322	33
2565	"department of bioengineering, nagaoka university of technology, nagaoka, japan"	9	202	29
2575	"department of bioinformatics and genomics, kanazawa university, kanazawa, japan"	15	78	128
2609	"department of biological sciences, national university of singapore, singapore city, singapore"	11	469	64
2616	"department of biological sciences, the university of tokyo, tokyo, japan"	6	86	23
2617	"department of biological sciences, tokyo metropolitan university, hachioji, japan"	31	261	64
2630	"department of biology and environment science, yamaguchi university, yamaguchi, japan"	6	405	18
2635	"department of biology, adventist university of the philippines, silang, philippines"	5	120	42
2641	"department of biology, can tho university, can tho, viet nam"	15	203	21
2644	"department of biology, chiba university, chiba, japan"	11	220	65
2645	"department of biology, chulalongkorn university, bangkok, thailand"	8	138	38
2649	"department of biology, dalat university, da lat city, lam dong province, viet nam"	6	38	16
2659	"department of biology, henan university, kaifeng, china"	9	595	40
2660	"department of biology, hue university, hue, viet nam"	7	175	8
2666	"department of biology, kobe university, kobe, japan"	5	106	15
2673	"department of biology, lorestan university, khorramabad, iran"	9	340	33
2690	"department of biology, taif university, taif, saudi arabia"	5	1299	20
2693	"department of biology, toho university, tokyo, japan"	6	71	25
2727	"department of biomaterials, kyushu university, fukuoka, japan"	6	50	7
2741	"department of biomedical engineering, singapore university of social sciences, singapore city, singapore"	6	169	63
2746	"department of biomedical informatics and medical engineering, asia university, taichung, taiwan"	6	169	63
2747	"department of biomedical molecular sciences, fujita health university school of medicine, toyoake, japan"	5	4	44
2748	"department of biomedical science and environmental biology, kaohsiung medical university, kaohsiung, taiwan"	5	44	16
2752	"department of biomedical sciences, chubu university, kasugai, japan"	7	131	11
2766	"department of biomolecular engineering, kyoto institute of technology, kyoto, japan"	13	188	24
2774	"department of bioproduction environmental sciences, kyushu university, fukuoka, japan"	6	48	8
2783	"department of bioresource sciences, kyushu university, fukuoka, japan"	10	46	9
2791	"department of bioscience and biotechnology, kyushu university, fukuoka, japan"	18	390	17
2796	"department of bioscience and laboratory medicine, hirosaki university, hirosaki, japan"	5	17	35
2823	"department of biotechnology and microbiology, karnatak university dharwad, dharwad, india"	5	257	15
2828	"department of biotechnology, college of food industry, da nang, viet nam"	5	33	11
2830	"department of biotechnology, dại học nguyen tat thanh, ho chi minh city, viet nam"	7	302	19
2841	"department of biotechnology, khon kaen university, khon kaen, thailand"	5	300	5
2843	"department of biotechnology, kyoto institute of technology, kyoto, japan"	5	35	3
2860	"department of botany and microbiology, college of sciences, riyadh, saudi arabia"	11	810	32
2868	"department of botany, faculty of science, aswan, egypt"	18	1185	88
2871	"department of botany, national museum of nature and science, tokyo, japan"	9	107	17
2877	"department of botany, university of yangon, yangon, myanmar"	7	199	57
2878	"department of botany, vietnam academy of science and technology, hanoi, viet nam"	5	89	5
2897	"department of business administration, yokohama national university, yokohama, japan"	5	30	2
2898	"department of business and it, university of south-eastern norway, kongsberg, norway"	20	2179	88
2902	"department of business, fpt university, hanoi, viet nam"	5	58	9
2911	"department of cardiology and vascular medicine, universitas indonesia, depok, indonesia"	5	195	45
2929	"department of cardiology, national heart centre singapore, singapore city, singapore"	10	171	63
3006	"department of chemical and environmental engineering, phenikaa university, hanoi, viet nam"	5	29	11
3019	"department of chemical engineering, can tho university, can tho, viet nam"	8	80	10
3025	"department of chemical engineering, hanoi university of science and technology, hanoi, viet nam"	22	350	68
3026	"department of chemical engineering, institut teknologi bandung, bandung, indonesia"	15	289	39
3027	"department of chemical engineering, institute of science tokyo, tokyo, japan"	8	237	7
3031	"department of chemical engineering, le quy don technical university, hanoi, viet nam"	7	294	17
3044	"department of chemical engineering, university of the philippines diliman, quezon city, philippines"	7	294	10
3057	"department of chemical science and engineering, national institute of technology, tokyo college, hachioji, japan"	5	39	9
3059	"department of chemical science and technology, tokushima university, tokushima, japan"	6	128	6
3067	"department of chemical technology, vietnam national university, hanoi, hanoi, viet nam"	6	240	6
3089	"department of chemistry, can tho university, can tho, viet nam"	17	161	24
3091	"department of chemistry, chulalongkorn university, bangkok, thailand"	11	120	35
3119	"department of chemistry, kyoto institute of technology, kyoto, japan"	6	102	8
3139	"department of chemistry, sungkyunkwan university, seoul, south korea"	5	124	18
3141	"department of chemistry, thammasat university, pathum thani, thailand"	15	357	55
3147	"department of chemistry, tohoku university, sendai, japan"	9	52	25
3148	"department of chemistry, tokyo metropolitan university, hachioji, japan"	6	31	6
3169	"department of chemistry, university of sciences, hue university, hue, viet nam"	6	84	7
3171	"department of chemistry, university of yangon, yangon, myanmar"	5	84	10
3174	"department of chemistry, vietnam national university, hanoi, hanoi, viet nam"	7	255	8
3192	"department of civil & environmental engineering, hiroshima university, higashihiroshima, japan"	31	861	48
3193	"department of civil & environmental engineering, institute of science tokyo, tokyo, japan"	134	5551	316
3201	"department of civil & environmental engineering, nagaoka university of technology, nagaoka, japan"	53	2965	184
3204	"department of civil & environmental engineering, national institute of technology, kure college, kure, japan"	7	157	31
3210	"department of civil & environmental engineering, saitama university, saitama, japan"	9	157	5
3214	"department of civil & environmental engineering, tohoku gakuin university, sendai, japan"	7	93	10
3215	"department of civil & environmental engineering, tohoku university, sendai, japan"	6	65	7
3216	"department of civil & environmental engineering, tokyo metropolitan university, hachioji, japan"	14	523	15
3222	"department of civil & environmental engineering, waseda university, tokyo, japan"	10	178	19
3240	"department of civil engineering, can tho university, can tho, viet nam"	7	73	19
3241	"department of civil engineering, chulalongkorn university, bangkok, thailand"	21	404	35
3246	"department of civil engineering, hanoi architectural university, hanoi, viet nam"	6	82	9
3250	"department of civil engineering, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam"	6	285	11
3272	"department of civil engineering, lac hong university, bien hoa, viet nam"	5	197	11
3301	"department of civil engineering, the university of tokyo, tokyo, japan"	21	695	29
3302	"department of civil engineering, thuyloi university, hanoi, viet nam"	11	541	22
3303	"department of civil engineering, tohoku university, sendai, japan"	10	178	10
3306	"department of civil engineering, trường đại học giao thông vận tải, hanoi, viet nam"	8	79	18
3311	"department of civil engineering, university of danang, da nang, viet nam"	18	120	30
3324	"department of civil engineering, yokohama national university, yokohama, japan"	13	386	22
3325	"department of civil engineering, đại học công nghệ giao thông vận tải, hanoi, viet nam"	6	70	8
3327	"department of civil, luleå university of technology, lulea, sweden"	8	1039	44
3361	"department of clinical medicine, nagasaki university, nagasaki, japan"	27	989	104
3398	"department of clinical product development, nagasaki university, nagasaki, japan"	42	1229	248
3422	"department of community and global health, graduate school of medicine, tokyo, japan"	12	114	25
3438	"department of computational biology and medical sciences, the university of tokyo, tokyo, japan"	6	119	22
3442	"department of computational physics, hanoi university of science and technology, hanoi, viet nam"	7	27	26
3446	"department of computer and information science, tokyo university of agriculture and technology, fuchu, japan"	7	134	6
3449	"department of computer and network engineering, the university of electro-communications, chofu, japan"	18	189	21
3450	"department of computer engineering, ardahan üniversitesi, ardahan, turkey"	6	175	62
3464	"department of computer engineering, vnuhcm - university of information technology, ho chi minh city, viet nam"	6	74	11
3471	"department of computer science and engineering, the university of aizu, aizuwakamatsu, japan"	5	40	7
3478	"department of computer science and information systems, keio university, tokyo, japan"	8	91	18
3522	"department of construction materials, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam"	6	108	17
3550	"department of crop sciences, can tho university, can tho, viet nam"	11	207	13
3565	"department of dental basic sciences, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	8	102	7
3571	"department of dental public health, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	5	25	4
3586	"department of dermatology and venereology, hanoi medical university, hanoi, viet nam"	11	175	18
3601	"department of dermatology, kansai medical university, hirakata, japan"	6	89	0
3622	"department of design of machinery and robot, hanoi university of science and technology, hanoi, viet nam"	10	171	16
3627	"department of development technology, hiroshima university, higashihiroshima, japan"	14	313	28
3632	"department of developmental medical sciences, graduate school of medicine, tokyo, japan"	22	666	55
3633	"department of developmental medical sciences, the university of tokyo, tokyo, japan"	7	138	15
3647	"department of diagnostic radiology and nuclear medicine, graduate school of medicine, maebashi, japan"	7	38	5
3656	"department of digital forensics engineering, firat üniversitesi, elazig, turkey"	9	271	84
3660	"department of disease control, faculty of veterinary medicine, sapporo, japan"	7	42	23
3661	"department of disease control, graduate school of veterinary medicine, sapporo, japan"	16	307	68
3675	"department of earth and environmental sciences, jeonbuk national university, jeonju, south korea"	5	49	18
3688	"department of earth and planetary systems science, hiroshima university, higashihiroshima, japan"	7	198	25
3692	"department of earth resources engineering, kyushu university, fukuoka, japan"	8	181	4
3694	"department of earth science education, seoul national university, seoul, south korea"	11	299	193
3710	"department of earth sciences, yamaguchi university, yamaguchi, japan"	10	505	27
3711	"department of earth system sciences, yonsei university, seoul, south korea"	6	186	13
3721	"department of ecology and evolutionary biology, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	7	48	15
3727	"department of economic analysis and icae, universidad complutense de madrid, madrid, spain"	8	121	37
3731	"department of economics and finance, rmit university vietnam, ho chi minh city, viet nam"	5	35	5
3752	"department of ecosystem studies, graduate school of agricultural and life sciences the university of tokyo, tokyo, japan"	5	23	16
3753	"department of education and training, posts and telecommunications institute of technology vietnam, hanoi, viet nam"	6	321	22
3759	"department of electric power systems, hanoi university of science and technology, hanoi, viet nam"	8	81	4
3764	"department of electrical & computer engineering, ngee ann polytechnic, singapore city, singapore"	6	169	63
3776	"department of electrical and electronic engineering, institute of science tokyo, tokyo, japan"	18	810	59
3781	"department of electrical and electronic engineering, national defense academy of japan, yokosuka, japan"	7	46	7
3786	"department of electrical and electronic engineering, posts and telecommunications institute of technology vietnam, hanoi, viet nam"	7	15	10
3796	"department of electrical and electronic information engineering, toyohashi university of technology, toyohashi, japan"	10	602	30
3804	"department of electrical engineering and information systems, the university of tokyo, tokyo, japan"	14	305	40
3814	"department of electrical engineering, hanoi university of science and technology, hanoi, viet nam"	13	130	14
3827	"department of electrical engineering, shibaura institute of technology, tokyo, japan"	18	216	24
