id	keyword	occurrences	total link strength
22218	high throughput sequencing	44	1024
22413	histology	53	1019
22432	histopathology	80	1758
22446	history	22	633
22455	hiv infections	107	3118
22462	hiv-1	34	981
22514	ho chi minh city	34	492
22636	hong kong	30	855
22639	honshu	56	555
22693	hospital	26	608
22695	hospital admission	36	1073
22705	hospital discharge	22	612
22714	hospital patient	23	634
22725	hospitalization	96	2623
22793	household	31	743
22856	human	2608	54075
22882	human cell	217	4662
22899	human experiment	83	1387
22915	human immunodeficiency virus	24	716
22916	human immunodeficiency virus 1	42	1230
22917	human immunodeficiency virus 1 infection	24	739
22920	human immunodeficiency virus infected patient	48	1472
22921	human immunodeficiency virus infection	124	3823
22990	human tissue	140	3203
23003	humans	2072	46542
23206	hydrogen	59	305
23233	hydrogen peroxide	35	589
23458	hypertension	93	2617
23566	ic50	68	1302
23745	imipenem	28	872
23777	immune response	49	1059
23787	immunization	28	622
23827	immunoglobulin g	60	1502
23835	immunoglobulin m	34	942
23842	immunohistochemistry	101	2165
23855	immunology	129	3412
23956	in vitro study	115	2604
23959	in vivo study	49	1264
24012	incidence	180	4922
24042	income	32	929
24092	india	93	2201
24165	indonesia	86	1923
24171	indoor air pollution	21	605
24274	infant	284	8331
24283	"infant, newborn"	120	3719
24298	infection risk	33	939
24333	inflammation	47	1056
24350	influenza	39	1106
24354	influenza a (h5n1)	25	673
24357	influenza a virus	57	1463
24363	influenza a virus (h5n1)	26	750
24375	"influenza a virus, h5n1 subtype"	60	1731
24385	influenza in birds	42	1164
24394	influenza virus a h5n1	47	1297
24410	"influenza, human"	44	1327
24435	information processing	33	716
24560	injury	37	1332
24829	intensive care unit	31	803
24983	interleukin 10	21	593
25009	interleukin 6	48	1207
25050	intermethod comparison	44	874
25099	international cooperation	38	685
25154	interstitial lung disease	12	611
25187	interview	32	645
25474	iron	67	1033
25488	iron deficiency anemia	16	710
25556	ischemic heart disease	22	1035
25627	isolation and purification	327	8079
25764	japan	436	7355
25768	japanese (people)	40	885
25928	kanamycin	27	897
26151	klebsiella pneumoniae	24	669
26208	korea	30	696
26301	laboratory test	34	734
26395	lakes	36	507
26453	land use	61	524
26566	laos	38	731
26581	laparoscopy	34	882
26840	lead	41	738
27012	length of stay	43	1259
27135	levofloxacin	29	875
27178	life expectancy	55	1944
27333	limit of detection	54	1090
27334	limit of quantitation	21	565
27457	lipid	38	853
27512	liquid chromatography	32	658
27516	liquid chromatography-mass spectrometry	30	720
27602	liver	30	628
27605	liver cancer	27	1020
27610	liver cell carcinoma	37	1050
27612	liver cirrhosis	39	1485
27634	liver neoplasms	45	1304
27650	liver tumor	41	1160
27654	livestock	23	601
27809	logistic models	36	896
27811	logistic regression analysis	28	743
27890	longitudinal studies	26	625
27891	longitudinal study	50	1191
27939	low back pain	14	623
27955	low density lipoprotein cholesterol	30	868
27983	low income country	53	1303
28101	lower respiratory tract infection	28	1177
28167	lung	26	640
28182	lung cancer	26	1009
28212	lung neoplasms	23	662
28222	lung tumor	19	559
28370	machine learning	112	701
28414	macrophage	32	753
28461	magnesium	27	495
28649	major clinical study	853	21655
28664	malaria	64	1920
28678	malaysia	59	1628
28682	male	1636	37864
28711	malignant neoplasm	18	722
28722	malnutrition	25	620
28746	mammals	39	716
28787	manganese	49	754
28986	mass fragmentography	38	749
28998	mass spectrometry	117	1945
29277	measles	20	813
29313	meat	31	733
29478	medicinal plant	43	681
29515	mekong delta	110	991
29630	meningitis	22	806
29651	mental disease	22	747
29688	meropenem	35	1195
29758	messenger rna	68	1515
29764	meta analysis	77	1458
29793	metabolism	523	9954
29965	methane	63	565
29989	methanol	39	404
30022	methodology	50	716
30113	mice	181	4113
30116	"mice, inbred balb c"	31	914
30198	microbial community	37	674
30223	microbial sensitivity test	57	1749
30224	microbial sensitivity tests	69	2032
30233	microbiology	225	5337
30454	middle aged	682	18282
30460	middle east	28	839
30465	middle income country	76	1854
30507	"milk, human"	28	777
30587	minimum inhibitory concentration	65	1899
30653	missense mutation	28	703
30664	mitochondrial dna	51	751
30718	mixed infection	40	1138
30978	molecular cloning	37	787
30988	molecular dynamics	78	443
30995	molecular epidemiology	52	1471
30996	molecular evolution	27	583
30999	molecular genetics	74	1842
31025	molecular phylogeny	29	693
31033	molecular sequence data	145	3483
31039	molecular structure	67	1081
31043	molecular weight	39	611
31129	monoclonal antibody	29	807
31216	morbidity	74	2246
31243	morphology	122	570
31259	mortality	281	7838
31260	mortality rate	108	3156
31277	mosquito	32	688
31353	mouse	244	5334
31611	multicenter study	154	4030
31627	multidrug resistance	39	1182
31666	multilocus sequence typing	26	689
31776	multiplex polymerase chain reaction	31	850
31804	multivariate analysis	29	694
31853	mus	24	690
31917	mutation	111	2584
31921	"mutation, missense"	23	624
31941	myanmar	32	920
31961	mycobacterium tuberculosis	29	719
32154	nalidixic acid	26	956
32284	nanoparticle	39	717
32294	nanoparticles	93	713
32374	nasopharynx	22	630
32482	nausea	19	583
32629	neoplasm	34	952
32635	neoplasms	29	682
32835	neurologic disease	21	794
32892	neutralizing antibody	40	1083
32964	newborn	146	4475
32967	newborn disease	15	885
33107	nitric oxide	31	513
33142	nitrogen	88	1222
33273	non communicable disease	22	960
33281	non insulin dependent diabetes mellitus	43	1013
33399	nonhuman	1336	26683
33455	nonnucleoside reverse transcriptase inhibitor	21	697
33508	normal human	35	744
33525	north america	26	631
33635	nuclear magnetic resonance	57	674
33636	nuclear magnetic resonance imaging	55	1133
33637	nuclear magnetic resonance spectroscopy	70	612
33696	nucleotide sequence	308	7048
33739	numerical model	76	347
33813	nutritional disorder	14	690
33822	nutritional status	43	1121
33855	obesity	64	1539
33897	observational study	78	2141
33925	occupational exposure	26	702
33993	odds ratio	37	1021
34238	oocyte	42	511
34265	open reading frame	32	703
34298	operation duration	38	953
34651	organic pollutant	26	542
34652	organic pollutants	71	1625
34765	orthomyxoviridae	28	740
34766	orthomyxoviridae infections	33	988
34787	oryza	52	672
34897	outcome assessment	110	2860
34957	overall survival	38	1026
34995	oxidation	62	536
35007	oxidation reduction reaction	30	531
35026	oxidative stress	58	1116
35069	oxygen	59	588
35160	pacific islands	40	1033
35207	pah	31	679
35229	pakistan	30	787
35306	pancreas cancer	12	599
35327	pandemic	91	1825
35332	pandemics	57	1149
35513	parasitology	66	1282
35553	parkinson disease	18	623
35649	particle size	82	1085
35673	particulate matter	69	1245
35746	pathogenesis	31	685
35750	pathogenicity	72	1868
35757	pathology	248	6021
35760	pathophysiology	57	1394
35772	patient care	33	606
35839	pbde	24	505
35852	pcb	34	777
36052	peptic ulcer	17	711
36374	pertussis	15	710
36390	pesticide	27	566
36449	ph	85	1273
36509	phase 3 clinical trial	29	923
36603	phenotype	131	2774
36643	philippines	85	1916
36750	phosphorus	44	627
36967	phylogenetic tree	86	2183
36970	phylogeny	432	8653
36976	physical activity	29	655
36984	physical chemistry	31	444
37046	physiological stress	35	558
37049	physiology	259	4374
37141	pig	120	2275
37290	placebo	28	802
37353	plant extract	122	1949
37354	plant extracts	75	1378
37360	plant growth	43	743
37368	plant leaf	90	1441
37369	plant leaves	51	854
37384	plant proteins	35	508
37390	plant root	67	1080
37392	plant roots	47	704
37393	plant seed	35	482
37426	plants (botany)	50	410
37489	plasmid	51	1260
37492	plasmids	28	807
37499	plasmodium falciparum	38	791
37589	platelet count	21	593
37701	pneumonia	39	1164
37817	pollutant	59	1536
37818	pollutant removal	33	469
37821	pollutant source	29	589
37826	pollution	39	756
37831	pollution exposure	57	1462
37941	polybrominated diphenyl ether	22	508
37954	polychlorinated biphenyl	43	972
37992	polychlorinated biphenyls	41	885
38000	polychlorinated dibenzodioxin	49	1214
38001	polychlorinated dibenzodioxins	23	611
38002	polychlorinated dibenzofuran	35	876
38021	polycyclic aromatic hydrocarbon	40	900
38023	polycyclic aromatic hydrocarbons	43	837
38123	polymerase chain reaction	227	5193
38144	"polymorphism, genetic"	37	836
38146	"polymorphism, single nucleotide"	48	1100
38282	population density	34	577
38294	population growth	31	967
38303	population research	55	1490
38477	postoperative complication	47	1102
38478	postoperative complications	34	904
38481	postoperative period	28	615
38500	potassium	29	599
38562	poultry	34	990
38563	poultry diseases	30	790
38668	practice guideline	125	2217
38762	prediction	90	1469
38785	predictive value	35	884
38804	pregnancy	103	2217
38833	premature labor	11	606
38870	preschool child	276	8017
38933	prevalence	413	10467
38937	prevention and control	59	1350
38987	principal component analysis	55	848
39018	priority journal	877	19433
39092	procedures	391	7724
39181	prognosis	61	1546
39242	promoter region	45	899
39317	prospective studies	101	2593
39318	prospective study	135	3494
39327	prostate cancer	15	615
39374	protein	58	1187
39398	protein blood level	30	729
39436	protein expression	141	2969
39442	protein function	44	895
39512	protein phosphorylation	25	600
39576	proteins	46	499
39632	proton nuclear magnetic resonance	64	968
39759	psychology	68	1132
39818	public health	99	2151
40118	quality adjusted life year	55	1793
40127	quality control	95	1271
40140	quality of life	58	1242
40147	quality-adjusted life years	55	1793
40156	quantitative analysis	83	1558
40317	questionnaire	254	4912
40321	questionnaires	30	686
40601	rain	75	812
40688	randomized controlled trial	94	2401
40689	randomized controlled trial (topic)	30	588
40743	rash	15	559
40747	rat	49	930
40774	rats	37	736
40848	reactive oxygen metabolite	39	866
40849	reactive oxygen species	25	548
40881	real time polymerase chain reaction	124	3121
40894	real-time polymerase chain reaction	26	638
40920	receiver operating characteristic	44	1093
41107	recycling	78	971
41291	register	25	616
41296	regression analysis	91	1151
41536	reproducibility	45	765
41537	reproducibility of results	44	745
41748	respiratory tract infection	39	1235
41749	respiratory tract infections	28	864
41831	retrospective studies	133	3353
41832	retrospective study	181	4379
41867	reverse transcription polymerase chain reaction	95	2448
41924	rheumatoid arthritis	22	659
42024	rice	93	842
42127	risk	27	636
42129	risk assessment	251	5631
42134	risk factor	403	10803
42135	risk factors	265	7491
42142	risk reduction	24	651
42154	river	60	1318
42173	river pollution	32	555
42182	river water	29	597
42192	rivers	118	1422
42198	rna	35	659
42200	rna 16s	66	1549
42211	rna directed dna polymerase inhibitor	25	810
42214	rna extraction	36	949
42248	"rna, messenger"	32	690
42253	"rna, ribosomal, 16s"	44	1045
42260	"rna, viral"	53	1407
42461	rotavirus	31	843
42514	rubber	70	359
42576	rural area	66	1460
42585	rural population	36	905
42699	salinity	42	435
42716	salmonella	26	617
42801	sampling	34	544
42840	sanitation	27	640
42887	sars-cov-2	47	999
42992	scanning electron microscopy	124	782
43075	school child	80	2054
43141	scoring system	53	1316
43220	season	51	1175
43228	seasonal variation	107	1860
43230	seasons	57	1319
43323	sediment	53	1071
43340	sediment pollution	27	522
43369	sediments	39	537
43683	sensitivity analysis	86	1432
43685	sensitivity and specificity	119	2514
43758	sepsis	23	788
43765	sequence alignment	46	1058
43767	sequence analysis	112	2707
43768	"sequence analysis, dna"	142	3475
43775	sequence homology	49	1197
43820	serodiagnosis	26	664
43821	seroepidemiologic studies	36	984
43822	seroepidemiology	24	676
43823	serogroup	26	704
43828	serology	36	884
43829	seroprevalence	44	1276
43846	serotype	60	1521
43920	severe acute respiratory syndrome coronavirus 2	28	748
43927	severity of illness index	35	927
43929	sewage	56	1065
43949	sex	22	808
43956	sex difference	87	2403
43959	sex distribution	30	1214
43960	sex factor	20	650
43961	sex factors	29	908
43967	sex ratio	45	1585
44261	sialidase	22	614
44333	signal transduction	95	1905
44358	silica	91	330
44486	simulation	74	719
44526	singapore	40	1237
44558	single nucleotide polymorphism	93	2199
44937	smoking	85	2388
45048	social status	32	747
45084	socioeconomic factors	52	1560
45088	socioeconomics	71	1905
45091	sodium	41	553
45108	sodium chloride	39	490
45208	soil	64	1008
45284	soil pollution	45	761
45318	soils	95	782
45589	south and central america	21	649
45590	south asia	31	817
45597	south korea	54	1526
45600	southeast asia	210	3243
45601	southeast asian	37	794
45603	southeast asian people	28	625
45622	soybean	39	546
45726	spatiotemporal analysis	62	705
45752	species difference	44	736
45765	species specificity	53	891
46136	sri lanka	27	626
46263	staphylococcus aureus	53	1149
46382	statistical model	68	1611
46397	statistics	34	545
46398	statistics and numerical data	82	2589
46525	steroid	27	655
46602	stomach cancer	50	1730
46616	stomach neoplasms	38	1025
46622	stomach tumor	30	817
46777	streptococcus pneumoniae	29	842
46795	streptomycin	33	1011
46838	"stress, physiological"	29	489
46876	stroke	25	648
46983	structure activity relation	35	596
47216	suidae	39	599
47278	sulfur compounds	65	510
47537	surface property	37	477
47565	surface water	46	812
47591	surgery	41	781
47628	surveys and questionnaires	112	2131
47630	survival	39	685
47631	survival analysis	22	653
47634	survival rate	57	1468
47675	sustainable development	74	557
47746	swine	131	2517
47748	swine disease	34	806
47749	swine diseases	42	963
47839	synthesis	43	477
47916	systematic review	98	2259
47935	systolic blood pressure	48	1443
47999	taiwan	61	1396
48020	tandem mass spectrometry	32	670
48238	temperature	143	1299
48478	tetanus	11	643
48490	tetracycline	52	1577
48586	thailand	121	2451
48654	therapy	38	864
48945	thorax radiography	35	791
49192	time factor	54	1280
49193	time factors	84	1864
49213	time series analysis	40	700
49619	toxicity	57	1227
49721	traffic accident	18	616
49812	transcription factor	29	557
50014	transmission electron microscopy	60	594
50123	treatment duration	43	1240
50133	treatment outcome	137	3667
50143	treatment response	21	594
50180	trend study	61	1542
50182	trends	38	1406
50192	triacylglycerol	29	796
50365	tropics	35	477
50443	tuberculosis	59	2000
50465	tumor cell line	50	1058
50481	tumor necrosis factor	35	922
50491	tumor necrosis factor-alpha	25	555
50506	tumor volume	30	695
50695	typhoid fever	13	706
50889	uncertainty	40	680
50899	unclassified drug	582	11238
50987	united states	69	1406
51086	upper respiratory tract infection	12	578
51092	upregulation	62	1404
51115	urban area	115	2409
51153	urbanization	40	573
51180	urinalysis	24	612
51188	urinary tract infection	12	628
51190	urine	28	785
51286	uterine cervix cancer	18	712
51331	vaccination	82	2108
51710	very elderly	159	5221
51733	veterinary	34	686
51738	veterinary medicine	90	1886
51829	viet nam	2076	32886
51830	vietnam	1117	24225
51833	vietnamese	194	4196
51888	viral load	30	928
51895	viral proteins	31	907
51911	virology	216	5601
51921	virulence	35	912
51926	virus antibody	56	1538
51940	virus detection	60	1499
51943	virus dna	31	762
51954	virus gene	56	1578
51955	virus genome	79	1856
51962	virus infection	33	734
51966	virus isolation	91	2340
51969	virus load	64	1914
51982	virus protein	34	940
51992	virus replication	52	1396
51994	virus rna	83	2276
51998	virus strain	83	2038
52002	virus transmission	69	1728
52006	virus virulence	22	624
52220	vomiting	23	692
52354	"waste disposal, fluid"	28	571
52368	waste management	60	736
52390	waste water	52	1191
52391	waste water management	38	696
52403	wastewater	67	1311
52412	wastewater treatment	89	1054
52421	water	109	1572
52426	water analysis	24	637
52452	water contamination	41	1011
52497	water management	74	897
52509	water pollutant	72	1641
52511	"water pollutants, chemical"	89	2059
52513	water pollution	68	1412
52517	water purification	27	509
52518	water quality	80	1226
52541	water sampling	41	928
52563	water supply	62	1004
52837	western blotting	44	966
52908	whole genome sequencing	62	1325
53137	world health organization	63	1267
53155	wounds and injuries	26	913
53198	x ray diffraction	78	477
53391	young adult	311	8860
53478	zinc	52	975
